,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,MAT_nichefrac_2021,MTWM_nichefrac_2021,MTCM_nichefrac_2021,AP_nichefrac_2021,PDQ_nichefrac_2021
3152,Atelopus eusebianus,4,1,1,Kelsey Neam,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,1.0818450543786804,0.06625610089099632,1.0,1.0,1.0,1.0,1.0
3153,Rana luanchuanensis,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),0.10880086018558552,0.0009419759820390095,1.0,1.0,1.0,1.0,1.0
3154,Oedipina berlini,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),2.1195303934705096,0.06106718003870509,1.0,1.0,1.0,1.0,1.0
3155,Hynobius bakan,1,1,1,Janice Chanson,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),2.734766880355125,0.2059508889004021,1.0,1.0,1.0,1.0,1.0
3156,Rhinella inca,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),10.087839937549626,3.8273286251621657,1.0,1.0,1.0,0.9425986256625319,0.9540768262242616
3157,Pristimantis bromeliaceus,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),9.657617380677065,0.9485162651692373,1.0,1.0,1.0,1.0,0.977755640641577
3158,Pristimantis bromeliaceus,6,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Presence Uncertain,3.178725417369267,0.2965050235527959,1.0,1.0,1.0,1.0,1.0
3159,Quasipaa exilispinosa,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),39.60466558501118,29.09690679417029,1.0,1.0,1.0,1.0,0.994385438300818
3160,Hyalinobatrachium orientale,1,1,1,Grisel Velasquez,2020,Grisel Velasquez and Margarita Lampo,0,Extant (resident),7.345136112673983,0.22316772687757877,0.6664243218338903,0.7775873300616528,0.7220058259477715,0.9444184958861188,1.0
3161,Thorius macdougalli,1,1,1,IUCN,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.15305299457731442,0.0017708848678938292,1.0,1.0,1.0,1.0,1.0
3162,Thorius macdougalli,1,1,1,IUCN,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.16703101724509295,0.0019559913075017877,1.0,1.0,1.0,1.0,1.0
3163,Thorius macdougalli,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.5482453866320979,0.009398136224427069,1.0,1.0,1.0,1.0,1.0
3164,Scaphiophryne spinosa,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),23.89589926143096,7.870300583029989,1.0,1.0,1.0,0.9384328119345323,0.9100670314137679
3165,Craugastor chingopetaca,1,1,1,Kelsey Neam & Marvin Torrez,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),3.144136186755766,0.2971800000027724,1.0,1.0,1.0,1.0,1.0
