,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,MAT_nichefrac_2021,MTWM_nichefrac_2021,MTCM_nichefrac_2021,AP_nichefrac_2021,PDQ_nichefrac_2021
0,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extinct,0.3705999504687024,0.0026276571338072563,1.0,1.0,1.0,1.0,1.0
1,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),12.037777860003189,0.052402700644943116,1.0,1.0,1.0,1.0,0.7499500813059072
2,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,0.49778438615732135,0.01047791052017623,1.0,1.0,1.0,1.0,1.0
3,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.8425792404085658,0.010135338094544921,1.0,1.0,1.0,1.0,1.0
4,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),35.86474781150094,55.70823737902021,1.0,0.9979433173153424,1.0,0.9979460378290737,1.0
5,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3923971564474438,0.009083071169183728,1.0,1.0,1.0,1.0,1.0
6,Plectrohyla pycnochila,4,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)",0,Possibly Extinct,0.1772934230838644,0.002501291813717827,1.0,1.0,1.0,1.0,1.0
7,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),9.694854185174158,3.2299451992632986,1.0,1.0,1.0,0.914339121603983,1.0
8,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.014825714972617,0.04302836060739629,1.0,1.0,1.0,1.0,1.0
9,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4061669963173752,0.003404311642285243,1.0,1.0,1.0,1.0,1.0
10,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),66.30043032930561,131.89128981108897,1.0,1.0,1.0,1.0,1.0
11,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.05250669393835622,0.00021930400000035597,1.0,1.0,1.0,1.0,1.0
12,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.5305860451493744,0.012294343150221383,1.0,1.0,1.0,1.0,1.0
13,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.2646021037282616,0.005571417407592854,1.0,1.0,1.0,1.0,1.0
14,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),7.145242874634042,0.8142920378816364,1.0,1.0,1.0,1.0,1.0
15,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),282.3394545423843,616.479039806591,0.9996127376418534,0.9864899855924459,0.9998062020117536,0.9700154306542581,0.9672939671615499
16,Sclerophrys regularis,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant & Introduced (resident),8.424014692032248,0.3380068095595775,1.0,1.0,0.967911198490768,1.0,1.0
17,Afrixalus weidholzi,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),117.45396478267742,177.49471070643324,0.9996761583332706,1.0,1.0,0.9990211661787054,1.0
18,Hyperolius argus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),108.53535496391588,60.53439237618536,1.0,1.0,1.0,1.0,1.0
19,Pristimantis culatensis,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7450552087921767,0.026867065070527038,1.0,1.0,1.0,1.0,1.0
20,Scolecomorphus uluguruensis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.6040997171369826,0.020023045956461236,1.0,1.0,1.0,1.0,1.0
21,Choerophryne proboscidea,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),21.055969510784312,2.715377219782719,1.0,1.0,1.0,1.0,1.0
22,Odorrana lungshengensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),17.482128752795003,6.015340997790042,1.0,1.0,1.0,1.0,1.0
23,Nymphargus chami,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),7.566097769581071,0.45652242650168173,1.0,1.0,1.0,1.0,1.0
24,Oreophryne rookmaakeri,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),2.082426381450287,0.1615839599610964,1.0,1.0,1.0,0.8888480370531161,1.0
25,Oreophryne rookmaakeri,6,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Presence Uncertain,3.8816272605553204,0.30324050867343294,1.0,1.0,1.0,0.8667262466848652,1.0
26,Arthroleptella bicolor,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),3.0768282781670666,0.19836007396293043,1.0,1.0,1.0,0.7698632658548774,1.0
27,Litoria vocivincens,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),18.806329857879675,2.376401744748632,1.0,1.0,1.0,0.9303452521076553,0.9164174009551219
28,Pristimantis pirrensis,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.560789217358129,0.010492688951190578,1.0,1.0,1.0,1.0,1.0
29,Epipedobates machalilla,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),14.347020775840361,3.0111311762380883,1.0,1.0,1.0,0.9259403011086896,0.9506197368397207
30,Caecilia occidentalis,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.9795005751288874,0.1648076130602132,1.0,1.0,1.0,1.0,1.0
31,Pristimantis celator,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),5.567209528369871,0.32203359047231267,1.0,1.0,1.0,0.9500037592577869,0.9000075185155738
32,Gephyromantis malagasius,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),17.42553552379536,5.3148318867019855,1.0,1.0,1.0,0.9371421457980263,0.9528494404910036
33,Anodonthyla vallani,1,1,1,Louise Hobin,2016,International Union for Conservation of Nature (IUCN),0,Extant (resident),0.28183318183324246,0.0017353238949725936,1.0,1.0,1.0,1.0,1.0
34,Scaphiophryne boribory,1,1,1,Louise Hobin,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),1.1819882290096464,0.061266700807409535,1.0,1.0,1.0,1.0,1.0
35,Scaphiophryne boribory,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.8201340109415858,0.03181065883409664,1.0,1.0,1.0,1.0,1.0
36,Leptodactylodon axillaris,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),0.2844497453339391,0.0060367486025484215,1.0,1.0,1.0,1.0,1.0
37,Oreophryne crucifer,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),7.26175598706408,0.1333927094066884,1.0,1.0,1.0,0.6471337796065766,0.7647154536227055
38,Pristimantis maculosus,1,1,1,Louise Hobin,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.48112901079153747,0.008283723391169178,1.0,1.0,1.0,1.0,1.0
39,Pristimantis maculosus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.6085806115414055,0.008733758302066727,1.0,1.0,1.0,1.0,1.0
40,Pristimantis maculosus,1,1,1,IUCN,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.6776727763460485,0.014728719640987853,1.0,1.0,1.0,1.0,1.0
41,Glandirana susurra,1,1,1,Janice Chanson,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.8108911067095012,0.014670902144710556,1.0,1.0,1.0,1.0,1.0
42,Leptobrachella dringi,1,1,1,Louise Hobin,2018,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),30.234534295866784,13.51044129827638,0.9964969525606722,0.9964990895006652,1.0,1.0,0.9929866893789828
43,Pristimantis atrabracus,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.10021960683962604,0.0007992438944963422,1.0,1.0,1.0,0.5,0.5
44,Pristimantis hoogmoedi,1,1,1,Grisel Velasquez and Margarita Lampo,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),1.4193560703943118,0.004400965078830277,1.0,1.0,1.0,1.0,1.0
45,Telmatobius atahualpai,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),4.000716211727652,0.48249188457372216,1.0,1.0,1.0,1.0,1.0
46,Mantophryne insignis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),2.3106701775065908,0.07126770309094667,0.3999719653503633,1.0,0.6000280346496367,1.0,1.0
47,Ptychadena filwoha,1,1,1,Aina Pascual Cuadras,2012,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),0.6279229692198398,0.010969720695786257,0.6668981011796469,1.0,1.0,0.6668981011796469,1.0
48,Tachycnemis seychellensis,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),1.1326578507783902,0.01469925419084723,1.0,1.0,1.0,1.0,1.0
49,Rhombophryne longicrus,1,1,1,Mark D. Scherz,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.3223427995770947,0.03198589503545925,1.0,1.0,1.0,1.0,1.0
50,Leptodactylus colombiensis,1,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),49.36530449972994,11.307132721997528,0.9966735120385447,0.9966735120385447,0.9966735120385447,0.9566026012266464,0.9499234323539659
51,Leptodactylus colombiensis,6,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Presence Uncertain,0.10190428114175118,0.000819485888527646,1.0,1.0,1.0,1.0,1.0
52,Mantella manery,1,1,1,Louise Hobin,2015,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.4911640840400994,0.004647700761370125,1.0,1.0,1.0,0.8334167991696989,1.0
53,Oreolalax jingdongensis,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),4.774007842901962,1.4631134481625627,1.0,1.0,1.0,1.0,1.0
54,Ichthyophis paucidentulus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.7637300949245603,0.040333766265667266,1.0,1.0,1.0,1.0,1.0
55,Hyloxalus ruizi,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.2873311246760707,0.006569683640852535,1.0,1.0,1.0,1.0,1.0
56,Occidozyga rhacoda,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),17.444480245451498,2.996155128630365,0.9811422549053642,1.0,1.0,0.9622619672454156,0.9905652447256377
57,Occidozyga rhacoda,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),4.17545413983813,0.4994667921428112,1.0,1.0,1.0,1.0,1.0
58,Copiula annanoreenae,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.10020988883292467,0.000799088699530147,1.0,1.0,1.0,1.0,1.0
59,Oreobates lehri,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),1.7266087202755929,0.11190503459647307,1.0,1.0,1.0,1.0,1.0
60,Charadrahyla pinorum,1,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,IUCN (International Union for Conservation of Nature).,0,Extant (resident),1.243651063366972,0.061538400897285045,1.0,1.0,1.0,1.0,1.0
61,Charadrahyla pinorum,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature).,0,Extant (resident),1.3004998011666684,0.08913769623624732,1.0,1.0,1.0,1.0,0.8334471059527018
62,Austrochaperina mehelyi,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),9.568364488345935,0.3284176630310149,1.0,1.0,1.0,0.7201339730159335,0.7601015717589623
63,Megophrys sangzhiensis,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.1118529102128867,0.0009955661641297675,1.0,1.0,1.0,1.0,1.0
64,Rhinella festae,1,1,1,Kelsey Neam,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),10.003148838726235,3.3608416981830103,1.0,1.0,1.0,1.0,1.0
65,Cacosternum boettgeri,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),81.980111706532,210.10858981069094,0.9916290204445758,0.9936299714766428,0.9862066489130434,0.9969317558010248,0.9996928857959382
66,Anomaloglossus degranvillei,1,1,1,Louise Hobin,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.10050295509424421,0.0008037696456545108,0.0,1.0,1.0,1.0,1.0
67,Cophyla karenae,1,1,1,Louise Hobin,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),0.19749595318764998,0.002485932199999418,1.0,1.0,1.0,1.0,1.0
68,Platymantis luzonensis,1,1,1,IUCN,2017,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),3.3319762133539643,0.15636356947243535,1.0,1.0,1.0,1.0,0.8233278528152554
69,Platymantis luzonensis,1,1,1,Jennifer Luedtke,2017,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.7509666915962863,0.05374805771430379,1.0,1.0,1.0,0.5,0.5
70,Platymantis luzonensis,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.5788842353950625,0.013333072375878677,1.0,1.0,1.0,1.0,1.0
71,Sarcohyla cyanomma,4,1,1,Kelsey Neam,2019,IUCN (International Union for Conservation of Nature),0,Possibly Extinct,0.10808110649919565,0.000929554031494972,1.0,1.0,1.0,1.0,1.0
72,Plethodontohyla guentheri,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),2.413498655151589,0.11207213731250136,1.0,1.0,1.0,1.0,1.0
73,Tomopterna milletihorsini,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.10053936753966634,0.00077960511514778,1.0,1.0,1.0,1.0,1.0
74,Tomopterna milletihorsini,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.10053936747808123,0.0007796051141154026,1.0,1.0,1.0,1.0,1.0
75,Ecnomiohyla fimbrimembra,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),3.300838193645544,0.17551878540057889,1.0,1.0,1.0,1.0,1.0
76,Cacosternum australis,1,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International and South African Frog Re-assessment Group (SA-FRoG).",0,Extant (resident),7.9948965767362274,1.265686615754865,1.0,1.0,1.0,1.0,1.0
77,Pristimantis viridis,1,1,1,Kelsey Neam,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.5621014847190542,0.015860499423288515,1.0,1.0,1.0,0.8749062047161138,0.8749062047161138
78,Oedipina nimaso,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.10617091013308153,0.0008969863975269419,1.0,1.0,1.0,1.0,1.0
79,Atelopus limosus,1,1,1,Brian Gratwicke,2018,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),1.8854537389143715,0.11584615879295178,1.0,1.0,1.0,1.0,1.0
80,Oreophryne brachypus,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),12.245790050247965,1.0719760608765805,0.9249949131762474,0.9500000299475754,0.9249949131762474,0.8750266855704224,0.9000107993733348
81,Natalobatrachus bonebergi,6,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International and South African Frog Re-assessment Group (SA-FRoG).",0,Presence Uncertain,0.48509514650857355,0.018246636302020867,1.0,1.0,1.0,1.0,1.0
82,Natalobatrachus bonebergi,1,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International and South African Frog Re-assessment Group (SA-FRoG).",0,Extant (resident),7.7899687133799125,0.5029368511015869,1.0,1.0,1.0,1.0,1.0
83,Natalobatrachus bonebergi,5,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International and South African Frog Re-assessment Group (SA-FRoG).",0,Extinct,0.6195776672746027,0.02805619923321308,1.0,1.0,1.0,1.0,1.0
84,Atelopus pastuso,4,1,1,Laurence Jarvis,2012,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,2.956718267014422,0.29790091793031365,1.0,1.0,1.0,1.0,0.9090956295765715
85,Boophis septentrionalis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),10.908562774382128,1.5189902643097406,1.0,0.9799827067288097,1.0,0.8804529555121507,0.9203938685513068
86,Boophis ankaratra,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),10.230957554814069,2.6992226946868216,1.0,1.0,1.0,1.0,1.0
87,Philautus hosii,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),5.755957118927589,0.30733454975118735,1.0,1.0,1.0,1.0,1.0
88,Philautus hosii,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),10.662811866362546,4.644385269746978,0.9795742181264935,0.9693613271897401,1.0,0.9795759687980313,1.0
89,Hyloxalus subpunctatus,1,1,1,Erin McGrew,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),5.950604150264592,0.8996291101330559,1.0,1.0,1.0,1.0,1.0
90,Cophixalus tenuidactylus,1,1,1,Steve Best,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.10773329678995662,0.0009235807580243423,1.0,1.0,1.0,1.0,1.0
91,Phrynopus pesantesi,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.09983758337713039,0.0007931717387003675,1.0,1.0,1.0,1.0,1.0
92,Thorius magnipes,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3608137191834055,0.0033563722258701436,1.0,1.0,1.0,1.0,1.0
93,Pristimantis rozei,1,1,1,Grisel Velasquez and Margarita Lampo,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),0.1429044260252017,0.0005612068706116078,1.0,1.0,1.0,1.0,1.0
94,Rhinoderma rufum,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),10.195663393112593,2.3739380354143185,1.0,1.0,1.0,1.0,1.0
95,Tepuihyla luteolabris,1,1,1,Grisel Velasquez,2019,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.625968606686222,0.007105669129683647,1.0,1.0,1.0,1.0,1.0
96,Pelodytes atlanticus,1,1,1,Christophe Dufresnes,2020,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),18.61468016620311,4.670758528319921,1.0,1.0,1.0,0.9631181102002844,0.9815769478943946
97,Leptomantis gadingensis,1,1,1,Louise Hobin,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.4867108887500931,0.005741866750000681,0.6666804154427095,0.6666804154427095,1.0,1.0,1.0
98,Bolitoglossa lozanoi,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),9.208548805935926,3.0004243009478087,0.9866567268616916,0.9866567268616916,1.0,0.9866904970062854,0.9866904970062854
99,Mantidactylus ambreensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),6.238240067191372,0.8119178334899625,1.0,1.0,1.0,0.9687102943170615,1.0
100,Pristimantis condor,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),4.192844666604732,0.4336782923838983,1.0,1.0,1.0,1.0,1.0
101,Papurana attigua,1,1,1,Timothy Cutajar,2015,IUCN (International Union for Conservation of Nature) & Conseervation International,0,Extant (resident),183.01606517806857,11.544849371943501,0.9871561612699823,0.9903663040258652,1.0,0.9141893939381942,0.8856643498751844
102,Bolitoglossa celaque,6,1,1,Kelsey Neam,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Presence Uncertain,0.05601084452050955,0.0002496349485482062,1.0,1.0,1.0,1.0,1.0
103,Bolitoglossa celaque,1,1,1,Kelsey Neam,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.30161144241089555,0.006609980010188489,1.0,1.0,1.0,1.0,1.0
104,Sooglossus thomasseti,1,1,1,Ariadne Angulo,2012,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),0.3641625862314453,0.0017813811747268808,1.0,1.0,1.0,1.0,1.0
105,Bolitoglossa suchitanensis,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.11771852945209625,0.0006143727471639989,1.0,1.0,1.0,1.0,1.0
106,Sylvirana maosonensis,1,1,1,Timothy Cutajar,2015,IUCN (International Union for Conservation of Nature) & Conseervation International,0,Extant (resident),363.76371876657674,15.010031160558249,1.0,1.0,1.0,0.9795823809175823,0.9726235453349863
107,Cophyla tetra,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),3.987876838299253,0.5305783835301684,1.0,1.0,1.0,0.8504554720097692,1.0
108,Hyloscirtus torrenticola,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),8.605601913965568,0.44009374503039517,1.0,1.0,1.0,1.0,1.0
109,Lithobates zweifeli,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),17.900297057439023,10.405667607290392,1.0,0.9723439054764925,1.0,0.986077896572041,1.0
110,Duellmanohyla rufioculis,1,1,1,IUCN,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),13.436524669479539,1.69044503629368,0.8146928313867674,0.8146928313867674,0.8332155334874883,0.9072648556737676,0.9814502297312604
111,Opisthothylax immaculatus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),50.08726791017144,66.39450047925105,1.0,0.9932031112619283,1.0,0.9727620303487856,0.9718498436701647
112,Scaphiophryne marmorata,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),4.928667847378145,1.0383937091909534,1.0,1.0,1.0,1.0,1.0
113,Pristimantis adnus,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),1.9351886786710728,0.02846063929344324,1.0,1.0,1.0,1.0,1.0
114,Oreolalax liangbeiensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.08843521045941174,0.000622332107563291,1.0,1.0,1.0,1.0,1.0
115,Arthroleptis francei,1,1,1,Kelsey Neam,2016,"IUCN (International Union for Conservation of Nature), Conservation International & South African Frog Re-assessment Group (SA-FRoG).",0,Extant (resident),0.41511668154058257,0.006856344630109689,1.0,1.0,1.0,1.0,1.0
116,Arthroleptis francei,1,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International & South African Frog Re-assessment Group (SA-FRoG).",0,Extant (resident),0.8094741760511022,0.018516040545188163,1.0,1.0,1.0,1.0,0.6668045651431637
117,Rhombophryne serratopalpebrosa,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.3955674847311748,0.05009320544999543,1.0,1.0,1.0,1.0,1.0
118,Leptopelis crystallinoron,1,1,1,Jennifer Luedtke,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.039164477922138,0.025752853379423162,1.0,1.0,1.0,1.0,1.0
119,Myersiohyla inparquesi,3,1,1,Grisel Velasquez,2019,IUCN (International Union for Conservation of Nature),0,Possibly Extant (resident),0.5266436991420328,0.009299401407875716,1.0,1.0,1.0,1.0,1.0
120,Myersiohyla inparquesi,1,1,1,Grisel Velasquez,2019,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.022574717485345876,3.279538024611042e-05,1.0,1.0,1.0,1.0,1.0
121,Batrachyla leptopus,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),115.01827464677862,18.81306423016551,1.0,0.9978688744516631,1.0,0.9764014109602267,0.9679445311636671
122,Metaphrynella sundana,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),15.791986089977835,2.628596462570635,1.0,1.0,1.0,1.0,0.9761629728523851
123,Metaphrynella sundana,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),27.022098286756407,4.316262142955155,0.9931499893460959,0.9931499893460959,0.9931499893460959,0.9177977585013978,0.9725977327158212
124,Eleutherodactylus pantoni,1,1,1,Kelsey Neam,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),4.119964467989399,0.34267130618716346,1.0,1.0,1.0,1.0,1.0
125,Xenorhina arndti,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.6325892346660267,0.11442463007356811,1.0,0.8888911258428246,1.0,1.0,1.0
