,Unnamed: 0,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021,urbanareas_2004,cropland_2004,rangeland_2004,managed_pasture_2004
7727,7727,Triturus ivanbureschi,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),52.09558755859379,21.707326630177626,0.0105801177007685,0.2554301571031235,0.0123367749277867,0.1242261781767382,0.00837747843153731,0.27091977130461037,0.012430053830799896,0.14266780288147266
7728,7728,Triturus ivanbureschi,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),4.6563198101677,0.8929615773503551,0.0291077882842323,0.4324052578322174,0.0032542826895299,0.0982001961630595,0.026443011364233236,0.4299149589247528,0.003971108474101873,0.13271651420164465
7729,7729,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.0345418734955658,4.206999758330409e-05,0.0025339152198284,0.2088178992271423,0.0035664550960063,0.1526257246732711,0.0016451837727800012,0.23459735512733462,0.0035663547459989786,0.15257814526557922
7730,7730,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.470523879244002,0.1720585899797464,0.0147162700686521,0.4761583567140737,0.0426685970264872,0.3290864095546464,0.01303316070111912,0.39582165007077097,0.006327526754979629,0.3620824088994824
7731,7731,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.4727839433071703,0.1725845999845111,0.0049333569476158,0.4833279061586631,0.0135059645735244,0.2573889467379071,0.004459549570047695,0.4524630752638357,0.008943463954097156,0.25954439669186
7732,7732,Triturus karelinii,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),40.56277813944603,18.824856012299385,0.0075445714504113,0.1893836809843927,0.0468381365886013,0.1226130457858145,0.005423118471545851,0.20089053032434437,0.04603524971070644,0.12416205416607352
7733,7733,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),16.495311192961445,4.125588060120675,0.0118557082922061,0.2125761632636775,0.219665517315843,0.0218931656488319,0.008626540150716138,0.2264362112354511,0.3289897398324495,0.028183470753265355
7734,7734,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),11.350128298479683,1.823778643132219,0.0056892324487004,0.1686908790741502,0.0449244584348446,0.0469660340189542,0.005373581916112698,0.14983431720197038,0.042970706524999985,0.04828751970992998
7735,7735,Triturus karelinii,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),4.362212858851418,0.7592894472696189,0.0152628120131163,0.3124000703878068,0.0033388811981447,0.0962360424530495,0.015159856527191685,0.3124506413966704,0.003849535918803686,0.09849904427076323
7736,7736,Uperodon montanus,1,1,1,Janice Chanson & Lauren Warr,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),10.025221432205736,2.335703177710239,0.0107898468053857,0.3073816113286519,7.1643663658061215e-06,0.0180453227904911,0.00736564126413468,0.305811247452335,4.141840284467876e-05,0.018542997044795357
7737,7737,Uperodon systoma,1,1,1,Lauren Warr,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),14.300758685068027,3.818699539450376,,,,,,,,
7738,7738,Uperodon systoma,3,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Possibly Extant (resident),4.18174038480339,0.2637310203726322,0.0133781608139051,0.7046755524087478,1.5089331958907268e-10,0.0305703414840663,0.010433768670434058,0.707138037440313,3.114203456528526e-10,0.030874980744646383
7739,7739,Uperodon systoma,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),95.1792599541102,212.0700964734644,,,,,,,,
7740,7740,Uperodon triangularis,6,1,1,Nieves Garcia,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,0.8116215678672449,0.0504856592028821,0.0156520064920187,0.4770674705505371,8.174181331810361e-10,0.0376886986196041,0.012905488722026348,0.47069820761680603,2.829471934528982e-10,0.038772307336330414
7741,7741,Uperodon triangularis,1,1,1,Janice Chanson,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),5.753943857505468,1.3874174024882195,0.0072330753941771,0.3579003341040397,3.302957174738302e-05,0.0202973470234199,0.004839658383668755,0.35691191675596057,3.4005502233408206e-05,0.020897403225714466
7742,7742,Uperoleia martini,1,1,1,Janice Chanson,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),11.379635451355991,0.7941792778422485,0.0019458990918491,0.0647528196721175,0.054509383999077,0.0241792870721716,0.0010521468785033518,0.05904102877801642,0.06295942741795363,0.02330084240899857
7743,7743,Acris gryllus,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),126.65698858855455,63.882813685710175,0.0248752418635855,0.1479258790341375,0.0163711768583648,0.0668952212965277,0.020447717711134374,0.16698013508184037,0.016062160327480104,0.06375088400051329
7744,7744,Alcalus tasanae,1,1,1,Timothy Cutajar & Jordann Crawford-Ash,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),117.28435478235834,8.401548002677695,,,,,,,,
7745,7745,Alcalus tasanae,3,1,1,Timothy Cutajar & Jordann Crawford-Ash,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extant (resident),275.6895578999748,7.536573333201179,0.0021866818131365,0.1517450935127773,0.0009489664723069,0.012048735363337,0.0015964884519209382,0.13007161311351584,0.000895048856640564,0.012107619530482233
7746,7746,Allobates fratisenescus,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),1.5480844337121455,0.0781964492974925,0.0007415756222814,0.0068461731331842,7.609767603024907e-06,0.0055073354680382,0.0005307878669454377,0.00699804164718664,7.909544664052335e-05,0.022242242880109404
