Species
Litoria kubori
Litoria kuduki
Litoria longipes
Litoria maculosa
Litoria maini
Litoria manya
Litoria michaeltyleri
Litoria montana
Litoria narinosa
Litoria novaehollandiae
Litoria obsoleta
Litoria oktediensis
Litoria papua
Litoria perimetri
Litoria persimilis
Litoria platycephala
Litoria pulchra
Litoria sauroni
Litoria semipalmata
Litoria trachydermis
Litoria vagitus
Litoria verrucosa
Litoria zweifeli
Agalychnis aspera
Agalychnis granulosa
Phyllomedusa atelopoides
Phyllomedusa ayeaye
Phyllomedusa azurea
Phyllomedusa baltea
Phyllomedusa centralis
Phyllomedusa Duellmani
Phyllomedusa ecuatoriana
Phyllomedusa hypochondrialis
Phyllomedusa megacephala
Phyllomedusa nordestina
Phyllomedusa oreades
Phyllomedusa palliata
Phyllomedusa perinesos
Phyllomedusa rohdei
Phyllomedusa tomopterna
Crossodactylus aeneus
Crossodactylus bokermanni
Megaelosia apuana
Megaelosia bocainensis
Megaelosia boticariana
Megaelosia jordanensis
Megaelosia lutzae
Megaelosia massarti
Alexteroon hypsiphonus
Alexteroon jynx
Alexteroon obstetricans
Chlorolius koehleri
Hyperolius acuticeps
Hyperolius fasciatus
Hyperolius ferreirai
Hyperolius laticeps
Hyperolius punctulatus
Hyperolius robustus
Hyperolius seabrai
Hyperolius thoracotuberculatus
Hyperolius wermuthi
Kassina maculata
Phlyctimantis boulengeri
Phlyctimantis keithae
Phlyctimantis leonardi
Phlyctimantis verrucosus
Eupemphix nattereri
Physalaemus Barrioi
Pleurodema fuscomaculatum
Pseudopaludicola riopiedadensis
Pseudopaludicola serrana
Somuncuria somuncurensis
Leptodactylus ajurauna
Leptodactylus andreae
Leptodactylus araucaria
Leptodactylus bokermanni
Leptodactylus chaquensis
Leptodactylus coca
Leptodactylus diptyx
Leptodactylus engelsi
Leptodactylus heyeri
Leptodactylus hylaedactylus
Leptodactylus lineatus
Leptodactylus lutzi
Leptodactylus marmoratus
Leptodactylus martinezi
Leptodactylus nanus
Leptodactylus rhodostima
Leptodactylus simonstuarti
Leptodactylus thomei
Paratelmatobius pictiventris
Boophis angrangoloaka
Borneophrys edwardinae
Brachytarsophrys carinense
Brachytarsophrys chuannanensis
Brachytarsophrys feae
Brachytarsophrys intermedia
Leptobrachium nokrekensis
Leptolalax aereus
Leptolalax alpinus
Leptolalax applebyi
Leptolalax arayai
Leptolalax bourreti
Leptolalax croceus
Leptolalax dringi
Leptolalax fuliginosus
Leptolalax gracilis
Leptolalax hamidi
Leptolalax heteropus
Leptolalax kajangensis
Leptolalax kecil
Leptolalax khasiorum
Leptolalax lateralis
Leptolalax liui
Leptolalax maurus
Leptolalax melanolecus
Leptolalax melicus
Leptolalax nahangensis
Leptolalax oshanensis
Leptolalax pelodytoides
Leptolalax pictus
Leptolalax pluvialis
Leptolalax solus
Leptolalax sungi
Leptolalax tamdil
Leptolalax tuberosus
Leptolalax ventripunctatus
Ophryophryne gerti
Ophryophryne hansi
Ophryophryne microstoma
Ophryophryne pachyproctus
Ophryophryne synoria
Xenophrys aceras
Xenophrys auralensis
Xenophrys baluensis
Xenophrys baolongensis
Xenophrys binchuanensis
Xenophrys binlingensis
Xenophrys boettgeri
Xenophrys brachykolos
Xenophrys caudoprocta
Xenophrys damrei
Xenophrys daweimontis
Xenophrys dringi
Xenophrys gigantica
Xenophrys glandulosa
Xenophrys huangshanensis
Xenophrys jingdongensis
Xenophrys kuatunensis
Xenophrys lekaguli
Xenophrys longipes
Xenophrys major
Xenophrys mangshanensis
Xenophrys medogensis
Xenophrys minor
Xenophrys nankiangensis
Xenophrys omeimontis
Xenophrys pachyproctus
Xenophrys palpebralespinosa
Xenophrys parallela
Xenophrys parva
Xenophrys robusta
Xenophrys sangzhiensis
Xenophrys serchhipii
Xenophrys shapingensis
Xenophrys shuichengensis
Xenophrys spinata
Xenophrys takensis
Xenophrys tuberogranulatus
Xenophrys wawuensis
Xenophrys wuliangshanensis
Xenophrys wushanensis
Xenophrys zhangi
Xenophrys zunhebotoensis
Micrixalus narainensis
Micrixalus swamianus
Altigius alios
Hyophryne histrio
Melanophryne barbatula
Melanophryne carpish
Relictivomer pearsei
Syncope antenori
Syncope carvalhoi
Syncope tridactyla
Albericus brunhildae
Albericus darlingtoni
Albericus exclamitans
Albericus fafniri
Albericus gudrunae
Albericus gunnari
Albericus laurini
Albericus murritus
Albericus rhenaurum
Albericus sanguinopictus
Albericus siegfriedi
Albericus swanhildae
Albericus tuberculus
Albericus valkuriarum
Albericus variegatus
Austrochaperina guttata
Cophixalus aimbensis
Cophixalus sisyphus
Genyophryne thomsoni
Liophryne allisoni
Liophryne dentata
Liophryne magnitympanum
Liophryne rhododactyla
Liophryne rubra
Liophryne schlaginhaufeni
Liophryne similis
Mantophryne infulata
Metamagnusia marani
Metamagnusia slateri
Oreophryne nana
Oreophryne parkeri
Oxydactyla alpestris
Oxydactyla brevicrus
Oxydactyla coggeri
Oxydactyla crassa
Oxydactyla stenodactyla
Pherohapsis menziesi
Pseudocallulops eurydactylus
Pseudocallulops pullifer
Madecassophryne Truebae
Platypelis alticola
Platypelis barbouri
Platypelis cowanii
Platypelis grandis
Platypelis mavomavo
Platypelis milloti
Platypelis pollicaris
Platypelis tetra
Platypelis tsaratananaensis
Platypelis tuberifera
Rhombophryne alluaudi
Stumpffia helenae
Chiasmocleis alagoanus
Chiasmocleis panamensis
Chiasmocleis supercilialbus
Elachistocleis magnus
Gastrophryne pictiventris
Gastrophryne usta
Nelsonophryne aequatorialis
Nelsonophryne aterrima
Kalophrynus menglienicus
Calluella brooksii
Calluella flava
Calluella guttulata
Calluella minuta
Calluella smithi
Calluella volzi
Calluella yunnanensis
Kaloula taprobanica
Microhyla annamensis
Microhyla annectens
Microhyla erythropoda
Microhyla fowleri
Microhyla fusca
Microhyla marmorata
Microhyla nanapollexa
Microhyla nepenthicola
Microhyla perparva
Microhyla petrigena
Microhyla pulverata
Ramanella anamalaiensis
Ramanella minor
Ramanella montana
Ramanella mormorata
Ramanella nagaoi
Ramanella obscura
Ramanella palmata
Ramanella triangularis
Ramanella variegata
Uperoleia capitulata
Nyctibatrachus sholai
Petropedetes dutoiti
Petropedetes martiensseni
Petropedetes natator
Petropedetes yakusini
Phrynobatrachus maculiventris
Phrynobatrachus vogti
Silurana epitropicalis
Silurana tropicalis
Ptychadena hylaea
Amietia amieti
Amietia dracomontana
Amietia lubrica
Amietia umbraculata
Amietia viridireticulata
Cacosternum poyntoni
Strongylopus Grayii
Amolops kangtingensis
Amolops liangshanensis
Babina adenopleura
Babina caldwelli
Babina chapaensis
Babina daunchina
Babina hainanensis
Babina lini
Babina okinavana
Babina pleuraden
Huia sumatrana
Hylarana albolabris
Hylarana albotuberculata
Hylarana amnicola
Hylarana arfaki
Hylarana asperrima
Hylarana attigua
Hylarana aurantiaca
Hylarana aurata
Hylarana banjarana
Hylarana baramica
Hylarana celebensis
Hylarana chalconota
Hylarana crassiovis
Hylarana cubitalis
Hylarana daemeli
Hylarana darlingi
Hylarana debussyi
Hylarana elberti
Hylarana eschatia
Hylarana everetti
Hylarana faber
Hylarana florensis
Hylarana fonensis
Hylarana galamensis
Hylarana garritor
Hylarana glandulosa
Hylarana gracilis
Hylarana grandocula
Hylarana grisea
Hylarana guentheri
Hylarana hekouensis
Hylarana igorota
Hylarana jimiensis
Hylarana kampeni
Hylarana kreffti
Hylarana labialis
Hylarana laterimaculata
Hylarana lemairei
Hylarana leptoglossa
Hylarana lepus
Hylarana longipes
Hylarana luctuosa
Hylarana luzonensis
Hylarana macrops
Hylarana malabarica
Hylarana mangyanum
Hylarana maosonensis
Hylarana megalonesa
Hylarana melanomenta
Hylarana menglaensis
Hylarana milleti
Hylarana milneana
Hylarana mocquardi
Hylarana moellendorffi
Hylarana moluccana
Hylarana mortenseni
Hylarana nicobariensis
Hylarana nigrovittata
Hylarana novaeguineae
Hylarana occidentalis
Hylarana papua
Hylarana parkeriana
Hylarana parvacola
Hylarana picturata
Hylarana raniceps
Hylarana rufipes
Hylarana scutigera
Hylarana siberu
Hylarana signata
Hylarana similis
Hylarana spinulosa
Hylarana supragrisea
Hylarana temporalis
Hylarana tipanan
Hylarana volkerjane
Hylarana waliesa
Odorrana andersonii
Odorrana melasma
Pelophylax lateralis
Pseudorana sangzhiensis
Rana okinavana
Rana cangyuanensis
Rana kunyuensis
Rana maoershanensis
Rana multidenticulata
Rana zhengi
Sanguirana varians
Indirana diplosticta
Indirana leptodactyla
Indirana phrynoderma
Indirana tenuilingua
Chiromantis cherrapunjiae
Chiromantis doriae
Chiromantis dudhwaensis
Chiromantis hansenae
Chiromantis laevis
Chiromantis nongkhorensis
Chiromantis punctatus
Chiromantis samkosensis
Chiromantis senapatiensis
Chiromantis shyamrupus
Chiromantis simus
Chiromantis vittatus
Kurixalus ananjevae
Kurixalus carinensis
Philautus jerdonii
Philautus petilus
Philautus sanctisilvaticus
Philautus similipalensis
Philautus similis
Philautus truongsonensis
Polypedates eques
Polypedates fastigo
Polypedates longinasus
Polypedates spinus
Pseudophilautus hallidayi
Pseudophilautus hoffmanni
Pseudophilautus hoipolloi
Pseudophilautus papillosus
Pseudophilautus procax
Pseudophilautus silus
Pseudophilautus silvaticus
Raorchestes terebrans
Rhacophorus achantharrhena
Rhacophorus angulirostris
Rhacophorus appendiculatus
Rhacophorus arboreus
Rhacophorus arvalis
Rhacophorus aurantiventris
Rhacophorus belalongensis
Rhacophorus bimaculatus
Rhacophorus burmanus
Rhacophorus chenfui
Rhacophorus chuyangsinensis
