,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021
10771,Alytes obstetricans,5,1,1,IUCN,2020,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extinct,2.4401963775868545,0.2343861749766651,0.11655157758822687,0.17180799754256473,1.6795856707003814e-09,0.15989316166915502
10772,Alytes obstetricans,1,1,1,Louise Hobin,2020,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),117.12369720786884,110.09561774810902,,,,
10773,Ambystoma californiense,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),52.28329405397926,3.9437181750955617,0.0548651357638945,0.24199745750282245,0.23149888005120664,0.07586398964134992
10774,Anaxyrus boreas,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),46.46869732957891,4.843246160038541,0.0014600934724596465,0.004187827527815914,0.006935146270971983,0.0016475297249054096
10775,Anaxyrus boreas,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),342.7791124747223,319.21257416735176,,,,
10776,Anaxyrus boreas,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),81.23497865758691,19.87844973845785,0.001465158938937145,0.0021881132662868183,0.0003699878201662205,0.0012436509922539194
10777,Anaxyrus boreas,4,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,6.302463645187166,1.5321106048176205,0.0033412300669630707,0.02724161469897965,0.3336087755639447,0.016368924930436898
10778,Anaxyrus canorus,1,1,1,Lauren Warr,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),18.39418510919172,1.0926924810865275,0.0010074867786058661,0.034837788515308006,0.12465163237125387,0.029940464161002444
10779,Anaxyrus exsul,1,3,1,Lauren Warr,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant & Introduced (resident),0.10400564037462276,0.0008607722441771959,0.0,5.8859521232079715e-05,0.04079161584377289,0.0
10780,Anaxyrus exsul,1,1,1,Lauren Warr,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),0.2122511602764135,0.0014983385687511869,0.0,0.01319795474410057,0.41989031434059143,0.0
10781,Anaxyrus exsul,5,3,1,Lauren Warr,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extinct & Introduced,0.10523279905179658,0.0008812049332219771,0.0,0.01319795474410057,0.41989031434059143,0.0
10782,Anaxyrus microscaphus,1,1,1,IUCN,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),50.823535210455226,23.896928752976297,0.006646142824720386,0.03439133884346378,0.3786116000597812,0.0002509559890539407
10783,Anaxyrus monfontanus,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.1107779286271282,0.0009765217901668583,0.0,0.001154252327978611,0.32084763050079346,0.0
10784,Anaxyrus nelsoni,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4075485920926307,0.007730723530815956,0.0,0.00132543806379879,0.4346377600159303,0.0
10785,Anaxyrus nevadensis,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.11150333061833889,0.000989352901409048,0.0,0.0038032650481909513,0.512647807598114,0.0
10786,Anaxyrus williamsi,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.1566470288803622,0.00021451829519888416,,,,
10787,Anaxyrus williamsi,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.014845863950822047,1.1226747634531702e-05,0.0,0.0025516743771731858,0.20360077917575836,0.0
10788,Aneides ferreus,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),26.80329119046591,9.109046157789026,0.01412277109797819,0.05392398295451589,0.04209755246653006,0.052896892650857126
10789,Aneides flavipunctatus,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),8.784453558348595,1.6268626183639476,0.0068334126124395865,0.05571659939859711,0.11115184184443759,0.0767967598202439
10790,Aneides hardii,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),10.762082206478306,1.6125402596450684,0.0016089098966769546,0.020463230603323918,0.5511071456596932,0.0
10791,Aneides iecanus,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),10.450786642941711,0.2237179067570258,0.004502953565378459,0.014287957966987308,0.04320394799569825,0.04240825419526209
